SIREN;NIC;L1_NORMALISEE;CODPOS
000325175;00057;TAHITI PERLES CREATION;13004
005420021;00056;ETABLISSEMENTS LUCIEN BIQUEZ;80100
005420120;00015;SOCIETE DES SUCRERIES DU MARQUENTERRE;80120
005420120;00023;SOCIETE DES SUCRERIES DU MARQUENTERRE;62180
005420120;00031;SOCIETE DES SUCRERIES DU MARQUENTERRE;62140
005420120;00049;SOCIETE DES SUCRERIES DU MARQUENTERRE;62180
005440110;00061;MONSIEUR RENE CAMAU;04000
005440565;00017;MONSIEUR LEONCE MICHEL;04200
005450093;00033;PASSIONNEMENT GLAMOUR;04800
005450093;00041;PASSIONNEMENT GLAMOUR;04800
005450119;00028;LE GRAND CAFE ET GASSENDI;04000
005450119;00036;LE GRAND CAFE ET GASSENDI;04000
005471800;00028;MONSIEUR ALFIERO TURCHI;44350
005472980;00019;MONSIEUR HENRI DOCEUL;44360
005473202;00025;MONSIEUR HENRI MARTIN;44220
005474960;00019;MADAME MARIA BRAKL;44600
005480546;00018;SOCIETE DE DISTRIBUTION DE PAPIER;44350
005520028;00019;ETABLISSEMENTS SUEUR ET FILS;80570
005520077;00016;ETABLISSEMENTS MERCIER;80210
005520176;00016;HERNAS CARTONNAGE;80210
005520176;00032;HERNAS CARTONNAGE;80210
005520242;00016;PROSPA;80510
005520325;00019;ADRIEN RIQUIER ETABLISSEMENTS;80570
005540273;00025;MONSIEUR PAUL POILROUX;04330
005540661;00021;MADAME MARIE AVON;04000
005541206;00024;MONSIEUR ANDRE RIZZO;04320
005541438;00023;MONSIEUR GILBERT CHASPOUL;04000
005541552;00013;ETABLISSEMENTS BONNET FRERES;04370
005541552;00039;LE SYMPA SNACK;04260
005541867;00023;MONSIEUR ROBERT JAUFFRET;83460
005550108;00012;EMILE BARNEAUD ET FILS;04140
005577325;00029;MONSIEUR ANDRE BARON;44350
005580113;00032;L ABRI FAMILIAL;44600
005580436;00060;BAUDINVEST;85640
005580501;00012;SOC GLACIERES FRIGO SAINT NAZAIRE;44600
005580501;00046;SOC GLACIERES FRIGO SAINT NAZAIRE;75008
005580683;00018;HOTEL DE LA TOQUE BLANCHE;44500
005611074;00013;MONSIEUR GERARD BOURGEOIS;80100
005620034;00016;ETS ROGER BIG MAT;80100
005620034;00024;ETS ROGER BIG MAT;76370
005620117;00019;ETABLISSEMENTS DUBOIS;80100
005620117;00027;ETABLISSEMENTS DUBOIS;80000
